page,title,year of issue,genres,developer,download link
https://v.otxataba.net/games/torrent_igry/3d/01-sid_meier_39_s_civilization_vi_digital_deluxe_2016_pc_124_repack_ot_xatab/3-1-0-327,Sid Meiers Civilization VI  (v 1.0.3.31 build 508803 ) (2016) скачать торрент RePack от xatab ,21 октября 2016,3D/Strategy,Firaxis Games,https://v.otxataba.net/index.php?do=download&id=2323
https://v.otxataba.net/games/torrent_igry/3d/creaks/3-1-0-1470,Creaks [Build 5311171  Hotfix] (2020) скачать торрент RePack от xatab ,2020,3D/Adventure,Amanita Design,https://v.otxataba.net/index.php?do=download&id=2320
https://v.otxataba.net/games/torrent_igry/action/planet_nomads_2019_pc_124_licenzija/5-1-0-978,Planet Nomads v.1.0.6.6 [GOG] (2019) скачать торрент Лицензия ,2019,Action/1st Person/Adventure,Craneballs,https://v.otxataba.net/index.php?do=download&id=2310
https://v.otxataba.net/games/torrent_igry/strategy/desperados-iii/7-1-0-1412,Desperados III [v 1.2.4] (2020) скачать торрент RePack от xatab ,2020,Strategy,Mimimi Games,https://v.otxataba.net/index.php?do=download&id=2322
https://v.otxataba.net/games/torrent_igry/action/one-piece-pirate-warriors-4/5-1-0-1307,ONE PIECE: PIRATE WARRIORS 4 [v 1.0.1.0+DLC] (2020) скачать торрент RePack от xatab ,2019,Action/Fighting,Koei Tecmo,https://v.otxataba.net/index.php?do=download&id=2324
https://v.otxataba.net/games/torrent_igry/strategy/before-we-leave/7-1-0-1365,Before We Leave (2020) скачать торрент RePack от xatab ,2020,Strategy/Simulation,Balancing Monkey Games,https://v.otxataba.net/index.php?do=download&id=2301
https://v.otxataba.net/games/torrent_igry/rpg/outer_wilds_v_1_0_2_100_2019_pc_124_repack_ot_xatab/2-1-0-1082,Outer Wilds [v 1.0.7] (2019) скачать торрент RePack от xatab ,2019 г.,RPG/3D/Adventure,Mobius Digital,https://v.otxataba.net/index.php?do=download&id=2308
https://v.otxataba.net/games/torrent_igry/strategy/parkitect-v15e-gog-2018/7-1-0-1295,Parkitect v.1.5j [GOG] (2018) скачать торрент Лицензия ,29 ноября 2018,Strategy/Simulator,Texel Raptor,https://v.otxataba.net/index.php?do=download&id=2309
https://v.otxataba.net/games/torrent_igry/3d/battlefleet_gothic_armada_2_2019_pc_124_repack_ot_xatab/3-1-0-843,Battlefleet Gothic: Armada 2 [v.1.0.11 (39826)+DLC] (2019) скачать торрент RePack от xatab ,2019 г.,3D/Strategy,Tindalos Interactive,https://v.otxataba.net/index.php?do=download&id=2307
https://v.otxataba.net/games/torrent_igry/action/neon-abyss-gog-2020-pc-licenzija/5-1-0-1468,Neon Abyss [GOG] (2020) скачать торрент Лицензия ,14 июля 2020,Action/Arcade,Veewo Games,https://v.otxataba.net/index.php?do=download&id=2306
https://v.otxataba.net/games/torrent_igry/3d/gears-tactics/3-1-0-1355,Gears Tactics [Update.3] (2020) скачать торрент RePack от xatab ,2020,3D/Strategy,"Splash Damage, The Coalition",https://v.otxataba.net/index.php?do=download&id=2295
https://v.otxataba.net/games/torrent_igry/simulator/car_mechanic_simulator_2018_v_1_3_5_2_dlc_rus_124_eng_124_multi12_repack_by_xatab/18-1-0-459,Car Mechanic Simulator 2018 (1.6.5) (2017) скачать торрент RePack от xatab ,28 июля 2017,Simulator,Red Dot Games,https://v.otxataba.net/index.php?do=download&id=2303
https://v.otxataba.net/games/torrent_igry/action/streets-of-rage-4/5-1-0-1349,Streets of Rage 4 (2020) скачать торрент RePack от xatab ,2020,Action/Fighting,"Dotemu, Guard Crush Games, Lizardcube",https://v.otxataba.net/index.php?do=download&id=2298
https://v.otxataba.net/games/torrent_igry/rpg/kenshi_1_0_9_2018_pc_124_repack_ot_xatab/2-1-0-816,Kenshi ( 1.0.50 (39662)) (2018) скачать торрент RePack от xatab ,2018 г.,RPG/3D/Action/Strategy,Lo-Fi Games,https://v.otxataba.net/index.php?do=download&id=2296
https://v.otxataba.net/games/torrent_igry/rpg/atom_rpg_post_apocalyptic_indie_game_2018_pc_124_repack_ot_xatab/2-1-0-812,ATOM RPG: Post-apocalyptic indie game (v 1.16) (2018) скачать торрент RePack от xatab ,2018 г.,RPG/3D,AtomTeam,https://v.otxataba.net/index.php?do=download&id=2300
https://v.otxataba.net/games/torrent_igry/action/space_hulk_deathwing_enhanced_edition_v_2_38_dlc_2018_pc_124_repack_by_xatab/5-1-0-593,Space Hulk: Deathwing - Enhanced Edition [v 2.44 + DLC] (2018) скачать торрент RePack от xatab ,22 мая 2018,Action/Shooter/1st Person,Streum On Studio,https://v.otxataba.net/index.php?do=download&id=2299
https://v.otxataba.net/games/torrent_igry/3d/panzer-corps-2-2020-repack-ot/3-1-0-1303,Panzer Corps 2 [v 1.1.5 Hotfix +DLC] (2020) скачать торрент RePack от xatab ,2020,3D/Strategy,Flashback Games,https://v.otxataba.net/index.php?do=download&id=2288
https://v.otxataba.net/games/torrent_igry/rpg/middle-earth-shadow-of-mordor-game-of-the-year-edition-update-9/2-1-0-1463,Middle-Earth: Shadow of Mordor - Game of the Year Edition [Update 9] (2014) скачать торрент RePack от xatab ,2014,RPG/3rd Person/Action,"Monolith Productions, Inc.",https://v.otxataba.net/index.php?do=download&id=2284
https://v.otxataba.net/games/torrent_igry/3d/endless_legend_v_1_7_2_s3_dlc_39_s_2014_pc_124_repack_ot_xatab/3-1-0-873,Endless Legend [v 1.8.2 + DLC's] (2014) скачать торрент RePack от xatab ,2014,3D/Strategy,Amplitude Studios,https://v.otxataba.net/index.php?do=download&id=2269
https://v.otxataba.net/games/torrent_igry/3rd_person/mortal-kombat-xl-premium-edition-update-1/4-1-0-1451,Mortal Kombat XL: Premium Edition [Update 1] (2016) скачать торрент RePack от xatab ,2016,3rd Person/Action/Fighting,"NetherRealm Studios, High Voltage Software",https://v.otxataba.net/index.php?do=download&id=2266
https://v.otxataba.net/games/torrent_igry/simulation/fishing_barents_sea_2018_pc_124_repack_by_xatab/14-1-0-555,Fishing: Barents Sea [v 1.3.4-3618] (2018) скачать торрент RePack от xatab ,7 февраля 2018,Simulation,Misc Games,https://v.otxataba.net/index.php?do=download&id=2285
